id;start_date;end_date;language
1;2019-09-14T16:55:51;2019-09-14T10:04:08;FRENCH
2;2019-09-14T18:25:56;2019-09-14T03:32:07;SPANISH
3;2019-09-14T13:58:01;2019-09-14T05:22:01;FRENCH
4;2019-09-14T03:09:52;2019-09-14T10:36:54;SPANISH
5;2019-09-14T12:08:31;2019-09-14T16:52:40;SPANISH
6;2019-09-14T18:25:32;2019-09-14T19:42:28;FRENCH
7;2019-09-14T03:47:52;2019-09-14T16:28:39;FRENCH
8;2019-09-14T01:19:10;2019-09-14T09:19:19;FRENCH
9;2019-09-14T11:07:17;2019-09-14T19:31:55;FRENCH
10;2019-09-14T14:25:26;2019-09-14T11:41:41;SPANISH
